CustomerName,Card Number,PIN,Status,Balance,DailyWithdrawLimit,Blocked Time,Transaction History
Aarohi,2133916934314065,c333a75353784177f2394d1c4994cc98ff751dad713b4b75ea5a05506e5802cc,Unblocked,576986.89,20000,,[]
Aditya,3617528425406034,a138ab3bd14d1133a8dfc665d1f840382c0e76ecbdc44a00130198c329888dde,Unblocked,149840.53,20000,,[]
Ananya,5041896479729188,7b3b4e5fed79d4b93089785bd5654a021da6426cd154e1b98a630be06a50f281,Unblocked,990362.59,100000,,[]
Misha,9902542270856876,6d829fc6d4fde738604d0f92d988f80fda7712ce960ced10ca824fcd1d23386c,Unblocked,444155.06,40000,,[]
Aadhya,7333104634063466,1498a276616716206f8816f17443fc344cdfef1d3c5efb911e06fc9bf0bd057e,Unblocked,910796.98,20000,,[]
Aarav,8892090787599210,72a1917673994c23e72b3f49c2134549aa2219dffd8c029a071efe9c437f7888,Unblocked,703239.18,100000,,[]
Avni,1048508513898969,a05de90216c2550db31a7cf755c96a496a24af3e94c64b382635999f949983fc,Unblocked,150672.56,100000,,[]
Aanya,6096792157385464,77b593919479710873bb2b45a1fe6c2d6c86ae9e11158402783e39e4d2cb43de,Unblocked,606663.62,20000,,[]
Vivaan,3663445851006961,257ad493dc36225fcc2b8db98198dd24a3379258a2121f421c965671ca308bf8,Unblocked,909626.04,20000,,[]
Aadhya,4790804209003120,b2b786f78ddba19e363c584e584fb78ebd12cd6c026a948cd705f193fe139bf3,Unblocked,660799.68,100000,,[]
Sara,1526397171539675,7ef4694c838dc3db5176c6531eeb3f9290e229b4ed08f83100c809fbc1ee7b73,Unblocked,963938.51,40000,,[]
Shaurya,8846354223331472,069170cf54b2e58a1057173196abf680efbeb5863deb2b59cbfe61f5faa735e6,Unblocked,240788.84,40000,,[]
Prisha,5417399772661941,d12a4891fbf81cfb0fb5383b313e4fb499ca245463748fd4b509ce0359e44625,Unblocked,793656.65,100000,,[]
Saanvi,0072802126490267,3609d62fdb614d5eff118a1906d0edd30c8b648b38a2ff541e9fc723d77a5b24,Unblocked,626133.05,40000,,[]
Shaurya,9155096176756519,2adf89afa76f370d54092cb53f74d1558f116bbbffe20007a67ba31746fdb7e3,Unblocked,711248.36,40000,,[]
Dhanush,0182650259034792,34e3f0694a8768ef0ad4ae4657eff848730b025d9a5fefb923d90d21e31acd28,Unblocked,134605.42,100000,,[]
Aaditya,0092990669728140,6d193b90ef6cb2128eb6b85c22ea38c683824652cfbea7bce9b22a7cdc740bd7,Unblocked,324412.36,40000,,[]
Veer,3786976132717382,ed3f057dba227b4464df4351a9e1446fb7fd70aff119dab800498102300f5509,Unblocked,981429.31,20000,,[]
Avni,8760982137764574,24f0a8fb44e42779d4dee2fdb81273a6730d5f374745e3cae4556c637d466e76,Unblocked,884597.58,20000,,[]
Misha,5721790794914950,aa522a6beecbeb04beaa3f2818524c5fa79d01549b7f330f0cc0daf925a080ee,Unblocked,467438.38,20000,,[]
Dhruv,5167238474119817,152bf02d1a3d3094d00cbce4933d5e38a402fa94ebad8c225e03fd98a3483441,Unblocked,960116.93,40000,,[]
Yash,4125202518111689,225e15bcc17ffce6f78cd27ecfad8a2f346b40779fae4f9f822561aa9c29b695,Unblocked,130242.54,100000,,[]
Yash,4451035170210976,65df7a55f2ef2ed82611da3bf339602a2789ddceb8c2003020dad41f7f3a29b7,Unblocked,799127.98,40000,,[]
Riya,2915468529776556,c63bd0d975c69098ee4739650068349dd2812231b5b0a17c0772093ef07bbebd,Unblocked,639960.9,100000,,[]
Navya,4293267325834223,85f72074abb94327414d7ec5268cd757c6066772e23e2fd0265c7e2b33b42768,Unblocked,821295.59,40000,,[]
Misha,5968071391385736,5c2e13bb6c475cb7e036f736084779651b362b6b9c95b4376e3cfe4550edb6a1,Unblocked,136681.04,100000,,[]
Sara,5229375892948202,8f61d3cbcafb6953f3cd1d77d77e37c2c06c86e6fa86925e5f7ebd9d88c3c6bb,Unblocked,535861.23,100000,,[]
Laksh,1650985996464817,2036f83ce71f236913ff0ddb26a3fc556ce51b06cd8352a2461da5beb7490a90,Unblocked,756641.37,100000,,[]
